variant,canonical
EGD COLONOSCOPY,EGD COLONOSCOPY
AVF LT CUBITAL,AVF LT CUBITAL
AVF LT WRIST,AVF LT WRIST
LC,LC
EXCISION,EXCISION
FISTULOGRAM PTA,FISTULOGRAM PTA
TRACHEOSTOMY,TRACHEOSTOMY
TCC RT IJV,TCC RT IJV
AVF RT CUBITAL,AVF LT CUBITAL
FLEXIBLE CYSTOSCOPY,FLEXIBLE CYSTOSCOPY
TCC RT IJV CENTROS,TCC RT IJV CENTROS
BALLOON VENOPLASTY,BALLOON VENOPLASTY
AVF RT WRIST,AVF LT WRIST
TRUS BX,TRUS BX
EGD COLONOSCOPE,EGD COLONOSCOPY
CYSTO,CYSTO
LT BRACHIOCEPHALIC AVF,LT BRACHIOCEPHALIC AVF
AVBG LT FOREARM,AVBG LT FOREARM
CYSTOSCOPE,CYSTOSCOPE
COLONOSCOPY,COLONOSCOPY
TUR BT,TUR BT
HEMORRHOIDECTOMY,HEMORRHOIDECTOMY
FLEX CYSTOSCOPY,FLEXIBLE CYSTOSCOPY
COLONOSCOPY OTHER ENDOSCOPY OF SMALL INTESTINE,COLONOSCOPY OTHER ENDOSCOPY OF SMALL INTESTINE
DLC TO TCC RT IJV,DLC TO TCC RT IJV
EGD,EGD
LIFT,LIFT
R4 5 SYMPATHECTOMY,R4 5 SYMPATHECTOMY
CIRCUMCISION,CIRCUMCISION
TCC RT IJV HEMOFLOW,TCC RT IJV HEMOFLOW
CHEMOPORT INSERTION,CHEMOPORT INSERTION
BALLOON ANGIOPLASTY,BALLOON ANGIOPLASTY
REVISE TCC RT IJV CENTROS,REVISE TCC RT IJV CENTROS
TUR P,TUR P
RF NOSE,RF NOSE
VASECTOMY,VASECTOMY
DEBRIDEMENT,DEBRIDEMENT
AVBG RT FOREARM,AVBG LT FOREARM
FLEXIBLE CYSTOSCOPY SURVEILLANCE,FLEXIBLE CYSTOSCOPY SURVEILLANCE
REVISE TCC RT IJV,REVISE TCC RT IJV
AVF LT FOREARM,AVBG LT FOREARM
REZUM,REZUM
LT FOREARM LOOP AVBG,LT FOREARM LOOP AVBG
OPEN TOTAL THYROIDECTOMY,OPEN TOTAL THYROIDECTOMY
CYSTOSCOPY,CYSTOSCOPE
AVBG LT UPPERARM,AVBG LT UPPERARM
LT RADIOCEPHALIC AVF,LT RADIOCEPHALIC AVF
FISTULOTOMY,FISTULOTOMY
OFF DJ STENT,OFF DJ STENT
ANEURYSMECTOMY,ANEURYSMECTOMY
LIS,LIS
TCC AT RT IJV,TCC AT RT IJV
AVBG LT UPPER ARM,AVBG LT UPPER ARM
EC,EC
FLEXIBLE CYSTOSCOPE,FLEXIBLE CYSTOSCOPY
LAP SIGMOIDECTOMY,LAP SIGMOIDECTOMY
RT TOETVA,RT TOETVA
EGD COLONO,EGD COLONO
TOTAL TOETVA,TOTAL TOETVA
SURVEILLANCE CYSTO,SURVEILLANCE CYSTO
TEMPORARY TRACHEOSTOMY,TEMPORARY TRACHEOSTOMY
TONSILLECTOMY,TONSILLECTOMY
PTA,PTA
UNILATERAL THYROID LOBECTOMY,UNILATERAL THYROID LOBECTOMY
MIS TLIF L4 5,MIS TLIF L4 5
RT BRACHIOCEPHALIC AVF,LT BRACHIOCEPHALIC AVF
EXCISIONAL BIOPSY,EXCISIONAL BIOPSY
TCC LT IJV CENTROS,TCC RT IJV CENTROS
TRUS BIOPSY,TRUS BIOPSY
FISTULOGRAM,FISTULOGRAM
TURP,TURP
CORRECTION,CORRECTION
EVAR,EVAR
I D,I D
COLONOSCOPE,COLONOSCOPY
TK INSERTION,TK INSERTION
EXCISION OF DEEP CERVICAL LYMPH NODE,EXCISION OF DEEP CERVICAL LYMPH NODE
FLEXIBLE CYSTO,FLEXIBLE CYSTO
SUTURE WOUND,SUTURE WOUND
GASTRO COLONOSCOPE,GASTRO COLONOSCOPE
RIGHT BCT SLNB,RIGHT BCT SLNB
LT ENDOSCOPIC TYMPANOPLASTY,LT ENDOSCOPIC TYMPANOPLASTY
TURBT,TURBT
LT TOETVA,RT TOETVA
COMPLETE THYROIDECTOMY,COMPLETE THYROIDECTOMY
STSG,STSG
MRI FUSION BX,MRI FUSION BX
TRUS C BX,TRUS C BX
CLOSURE COLOSTOMY,CLOSURE COLOSTOMY
LEFT BCT SLNB,LEFT BCT SLNB
WIDE EXCISION,WIDE EXCISION
RT RADIOCEPHALIC AVF,RT RADIOCEPHALIC AVF
TCC LT IJV,TCC RT IJV
APPENDECTOMY,APPENDECTOMY
LARYNGOSCOPY AND OTHER TRACHEOSCOPY,LARYNGOSCOPY AND OTHER TRACHEOSCOPY
OTHER ENDOSCOPY OF SMALL INTESTINE,OTHER ENDOSCOPY OF SMALL INTESTINE
CORRECTION UPPER EYELID,CORRECTION UPPER EYELID
AVF RT FOREARM,AVF RT FOREARM
TB2 LT ARM,TB2 LT ARM
BILAT FESS,BILAT FESS
RF NOSE LA,RF NOSE LA
TB1 LT ARM,TB2 LT ARM
RHINOPLASTY,RHINOPLASTY
REVISED TCC RT IJV,REVISE TCC RT IJV
TCC RT IJV PALINDROME,TCC RT IJV PALINDROME
FCYSTOSCOPY,FCYSTOSCOPY
ERCP,ERCP
OPEN RT HERNIOPLASTY,OPEN RT HERNIOPLASTY
URETHRAL DILATION,URETHRAL DILATION
TONSILLECTOMY GA,TONSILLECTOMY
LAP AR,LAP AR
DB,DB
PORT A INSERTION,PORT A INSERTION
PTOSIS CORRECTION,PTOSIS CORRECTION
LAP RHC,LAP RHC
REMOVE CHEMOPORT,REMOVE CHEMOPORT
LAPAROSCOPIC CHOLECYSTECTOMY,LAPAROSCOPIC CHOLECYSTECTOMY
LASER HEMORRHOIDOPLASTY,LASER HEMORRHOIDOPLASTY
LAP LAR,LAP LAR
RT MMA,RT MMA
FLEXIBLE CYSTOSCOPY DILATE URETHRA,FLEXIBLE CYSTOSCOPY DILATE URETHRA
T BSP RF NOSE GA,T BSP RF NOSE GA
LAPAROSCOPIC SIGMOIDECTOMY,LAPAROSCOPIC SIGMOIDECTOMY
LT UPPER ARM LOOP AVBG,LT UPPER ARM LOOP AVBG
CRANIOTOMY C TUMOR REMOVAL,CRANIOTOMY C TUMOR REMOVAL
OFF LT DJ STENT,OFF DJ STENT
LT TB1,LT TB1
RT URSL DJ STENT,RT URSL DJ STENT
RT ENDOSCOPIC TYMPANOPLASTY,LT ENDOSCOPIC TYMPANOPLASTY
CHANGE VAC DRESSING,CHANGE VAC DRESSING
FLEX CYSTO,FLEX CYSTO
LEFT TOETVA,LEFT TOETVA
EXCISION LT BREAST MASS,EXCISION LT BREAST MASS
OPEN APPENDECTOMY,OPEN APPENDECTOMY
VAE,VAE
RT PCNL,RT PCNL
MRI FUSION TRUS BX,MRI FUSION TRUS BX
WIRE LOCALIZATION WIDE EXCISION,WIRE LOCALIZATION WIDE EXCISION
DJ STENT REMOVAL,DJ STENT REMOVAL
LT TB2,LT TB2
TRACHEOSTOMY GA,TRACHEOSTOMY
AVBG RT UPPERARM,AVBG LT UPPERARM
RT FOREARM LOOP AVBG,LT FOREARM LOOP AVBG
VP SHUNT,VP SHUNT
UPPER BLEPHALOPLASTY,UPPER BLEPHALOPLASTY
RT URSL,RT URSL
REVISE TCC LT IJV,REVISE TCC LT IJV
OFF RT DJ STENT,OFF DJ STENT
FLEX CYSTOSCOPY WITH REMOVE DJ STENT,FLEX CYSTOSCOPY WITH REMOVE DJ STENT
