variant,canonical
ESRD,ESRD
CKD STAGE V,CKD STAGE V
CA BLADDER,CA BLADDER
BOWEL HABIT CHANGE,BOWEL HABIT CHANGE
BPH,BPH
LGIB,LGIB
CHANGE IN BOWEL HABIT,BOWEL HABIT CHANGE
PROLONG INTUBATION,PROLONG INTUBATION
FIA,FIA
GROSS HEMATURIA,GROSS HEMATURIA
HIGH PSA,HIGH PSA
HEMATURIA,HEMATURIA
BHC,BHC
HYPERHIDROSIS,HYPERHIDROSIS
PROLONGED INTUBATION,PROLONG INTUBATION
SGS,SGS
CA SIGMOID,CA SIGMOID
URETHRAL STRICTURE,URETHRAL STRICTURE
RECURRENT CA BLADDER,RECURRENT CA BLADDER
DYSPEPSIA,DYSPEPSIA
BPH WITH HIGH PSA,BPH WITH HIGH PSA
PTOSIS,PTOSIS
CONSTIPATION,CONSTIPATION
PTOSIS UPPER EYELID,PTOSIS UPPER EYELID
HEMORRHOID,HEMORRHOID
RIGHT CA BREAST,RIGHT CA BREAST
LEFT BREAST MASS,LEFT BREAST MASS
CA RECTUM,CA RECTUM
LUTS,LUTS
LEFT CA BREAST,LEFT CA BREAST
RT THYROID NODULE,RT THYROID NODULE
PHIMOSIS,PHIMOSIS
CA PROSTATE,CA PROSTATE
CEPHALIC VEIN STENOSIS,CEPHALIC VEIN STENOSIS
CENTRAL VEIN STENOSIS,CENTRAL VEIN STENOSIS
ACUTE APPENDICITIS,ACUTE APPENDICITIS
LGIH,LGIH
HYDROCEPHALUS,HYDROCEPHALUS
RIGHT BREAST MASS,RIGHT BREAST MASS
LT OUTFLOW STENOSIS,LT OUTFLOW STENOSIS
CHRONIC ANAL FISSURE,CHRONIC ANAL FISSURE
SUBSIDED CHOLECYSTITIS,SUBSIDED CHOLECYSTITIS
LT COM,LT COM
FERTILITY,FERTILITY
SYMPTOMATIC GALLSTONE,SYMPTOMATIC GALLSTONE
BLADDER TUMOR,BLADDER TUMOR
SUBSIDE CHOLECYSTITIS,SUBSIDED CHOLECYSTITIS
ITHT,ITHT
CHT,CHT
RT IIH,RT IIH
SWING VEIN STENOSIS,SWING VEIN STENOSIS
CA RECTOSIGMOID,CA RECTOSIGMOID
INTERNAL HEMORRHOID,INTERNAL HEMORRHOID
