procedure,proc_group
(FLEXIBLE ) CYSTOSCOPY +/- TU-F,Cystoscopy_URO
(FLEXIBLE) CYSTOSCOPY (SURVEILLANCE),Cystoscopy_URO
(FLEXIBLE) URETEROSCOPY +/- RIRS,Cystoscopy_URO
(FLEXIBLE) URETHROSCOPY,สาขา:ทางเดินปัสสาวะ
1 STAGE EXCISION PARAFFINOMA,Skin_softtissue
1 STAGE REPAIR PARAFFINOMA,สาขา:ทางเดินปัสสาวะ
1. CLOSED REDUCTION NASAL BONE 2. ORIF WITH K-WIRE FIXATION,Fracture_fixation
1. EVACUATE HEMATOMA LEFT BREAST 2. EXCISION SKIN REDUNDANT OF RIGHT BREATS,Breast
1. EXCISION LIPOMA (ท่าตะแคง) 2. OPEN RT HERNIOPLASTY,Skin_softtissue
"1. MICRODOCHECTOMY LEFT BREAST, 2. MICRODOCHECTOMY OF RIGHT BREAST 3.EXCISION OF RIGHT BREAST",Breast
1. MICRODOCHECTOMY OF RIGHT BREAST 2.WIRE LOCALZATION WIDE EXCISION OF LEFT BREAST,Breast
1. TRACHEOSTOMY 2. ORIF WITH PAS WITH MMF,Fracture_fixation
1.LEFT BCT + SLNB (WIRE LOCALIZATION WIDE EXCISION) 2.GASTRO-COLONOSCOPE,Endoscopy_GI
1ST STAGE EXCISION PARAFFINOMA,Skin_softtissue
1ST STAGE EXCISION PARAFFINOMA นอกเวลา,Skin_softtissue
1ST STAGE EXCISION PARAFINOMA,Skin_softtissue
1ST STAGE EXCISION PARAFINOMA นอกเวลา,Skin_softtissue
1ST STAGE REPAIR +/- SCROTAL FLAP,Uro_other
2 BURR HOLE,Neuro_cranial
2ND STAGE PARAFFINOMA,สาขา:ประสาทและสมอง
2ND STAGE PARRRAFINIOMA,สาขา:ทางเดินปัสสาวะ
2ND STAGE REPAIR,สาขา:ทางเดินปัสสาวะ
2ND TOE DIP AMPTATION,สาขา:ศัลยกรรมทั่วไป
"4, COLONOSCOPY",Endoscopy_GI
ABDOMINAL CLOSURE,สาขา:หลอดเลือด
ABDOMINAL CLOSURE WITH OFF PACKING +/- TEMPORARY CLOSURE,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET + CHANGE VAC + RETENTION SUTURE,Skin_softtissue
ABDOMINAL TOILET + CHANGE VACUUM DRESSING AT ABDOMEN +THORACO,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET + VAC DRESSING,สาขา:ลำไส้ใหญ่และทวารหนัก
ABDOMINAL TOILET C CHANGE VACCUUM DRESSING,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET C VAC DRESSING,สาขา:ลำไส้ใหญ่และทวารหนัก
ABDOMINAL TOILET C VACCUUM DRESSING,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET WITH CHANGE VAC. DRESSING,สาขา:ลำไส้ใหญ่และทวารหนัก
ABDOMINAL TOILET WITH GJ +/- TEMPORARY CLOSURE,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET WITH RETENTION SUTURE,Skin_softtissue
ABDOMINAL TOILET+ CHANG VAC DRSSING AT ABDOMEN+THORACO,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET+ CHANGE VAC DRESSING,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILET+CHANGE VAC DRESSING,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL TOILRT C CHANGE VAC DRESSING,สาขา:ศัลยกรรมทั่วไป
ABDOMINAL WALL DEFECT RECONSTRUCTION WITH RT ALT FREE FLAP WITH STSG FROM LT THIGH,Skin_softtissue
ABDOMINALPLASTY,สาขา:ตกแต่ง
ABDOMINOPLASTY,สาขา:ตกแต่ง
ABOVE KNEE AMBUTATION,สาขา:ศัลยกรรมทั่วไป
ACDE C5-7,สาขา:ประสาทและสมอง
ACDF,Spine
ACDF + PEEK PLATE SCREW,Spine
ACDF + PEEK PLATE SCREW C5-6,Spine
ACDF 4-5-6 +/- 3-4,Spine
ACDF 5-6 WITH ANTERIOR PLATE SCREW FIXATION,Spine
ACDF C 345,Spine
ACDF C 3456 PEEK PLATE,Spine
ACDF C 45 PEEK PLATE & SCREW,Spine
ACDF C 456 PEEK PLATE,Spine
ACDF C 5-6 PEEK PLATE,Spine
ACDF C 567 PEEK PLATE,Spine
ACDF C$-5 +/- LAMINECTOMY,Spine
ACDF C2-3,Spine
ACDF C3-4,Spine
ACDF C3-4 (+/-C4-5),Spine
ACDF C3-4 4-5,Spine
ACDF C3-4 DIVA C 567 PEEK PLATE,Spine
ACDF C3-4 PEEK PLATE,Spine
"ACDF C3-4, C4-5",Spine
"ACDF C3-4,4-5,5-6 WITH PLATE-SCREW FIXATION",Spine
"ACDF C3-4,C4-5,C5-6 WITH PLATE SCREW FIXATION",Spine
ACDF C3-4-5 PEAK PLATE,Spine
ACDF C3-4-5 PEEK PLATE,Spine
ACDF C3-5 DIVA,Spine
ACDF C3-6,Spine
ACDF C3-6 PEEK PLATE,Spine
ACDF C3-6 WITH PEEK PLATE SCREW,Spine
ACDF C3-7 DIVA,Spine
ACDF C3/4 C4/5 C5/6 PEEK AND PLATE,Spine
"ACDF C3/4, C4/5, C5/6",Spine
ACDF C34 WITH +/- CORPECTOMY C4,Spine
ACDF C345,Spine
ACDF C345 PEEK PLATE,Spine
ACDF C3456 ALLOGRAFT PLATE AND SCREW,Spine
ACDF C3456 DIVA,Spine
ACDF C3456 WITH PEEK PLATE,Spine
ACDF C34567 DIVA,Spine
ACDF C34567 PLATE SCREW,Spine
"ACDF C4,5,6",Spine
ACDF C4-5,Spine
ACDF C4-5 (PEEK-PLATE) AND C7-T1 (DIVA) + LAMINECTOMY C4-5 AND C7-T1 WITH LATERAL MASS SCREW FIXATION,Spine
"ACDF C4-5 , C1-2 POSTERIOR FIXATION + LAMINECTOMY C4-5",Spine
ACDF C4-5 5-6 WITH PLATE AND SCREW FIXATION,Spine
ACDF C4-5 C ANTERIOR PLAT & SCREW FIXATION,Spine
ACDF C4-5 DIVA,Spine
ACDF C4-5 PEEK PLATE,Spine
ACDF C4-5 WITH DIVA,Spine
"ACDF C4-5,5-6",Spine
"ACDF C4-5,5-6 WITH PLATE-SCREW FIXATION",Spine
ACDF C4-5-6,Spine
ACDF C4-5-6-7 C PEEK PLATE,Spine
ACDF C4-5-6-7 LEVEL WITH PEEK PLATE,Spine
ACDF C4-5-6-7 PEEK AND PLATE,Spine
ACDF C4-5-6-7 PEEK PLATE,Spine
ACDF C4-6,Spine
ACDF C4-6 PEEK PLATE,Spine
ACDF C4-7 DIVA,Spine
ACDF C4-7 PEEK PLATE,Spine
ACDF C4/5,Spine
ACDF C4/5 C5/6,Spine
"ACDF C4/5, C5/6",Spine
ACDF C456,Spine
ACDF C456 PEEK PLATE,Spine
ACDF C456 WITH PEEK PLATE,Spine
ACDF C4567 PEEK PLATE,Spine
ACDF C5-6,Spine
ACDF C5-6 (REDO),Spine
ACDF C5-6 C PEEK PLATE,Spine
ACDF C5-6 C6-7,Spine
ACDF C5-6 DIVA,Spine
ACDF C5-6 PEAK PLATE,Spine
ACDF C5-6 PEEK PLATE,Spine
ACDF C5-6 PEEL PLATE,Spine
ACDF C5-6 WITH ANTERIOR PLATE-SCREW FIXATION,Spine
ACDF C5-6 WITH PEEK PLATE,Spine
ACDF C5-6 WITH PEEK PLATE AND SCREW FIXATION,Spine
ACDF C5-6-7 WITH PEEK PLATE,Spine
ACDF C5-7 DIVA,Spine
"ACDF C5-7,C6-7 WITH ANTERIOR PLATE-SCREW FIXATION",Spine
ACDF C5/6,Spine
ACDF C5/6 C6/7 PEEL PLATE,Spine
ACDF C5/6 DIVA,Spine
